,datum,sat,stanica,smjer vjetra,brzina vjetra (m/s),pritisak (hPa),temp.(°C),rel.vlažnost (%),kol.padavina (mm)
11,16.09.2020.,08:00,Sarajevo,ESE,1.0,946.8,15.2,78,
1,16.09.2020.,08:00,Sarajevo-Butmir,SSW,0.2,957.5,12.7,80,
27,16.09.2020.,07:00,Ilijaš,N,0.3,967.1,12.2,100,
11,16.09.2020.,09:00,Sarajevo,SSE,0.7,946.7,17.8,72,
1,16.09.2020.,09:00,Sarajevo-Butmir, ,,,,,
27,16.09.2020.,07:00,Ilijaš,N,0.3,967.1,12.2,100,
11,16.09.2020.,09:00,Sarajevo,SSE,0.7,946.7,17.8,72,
1,16.09.2020.,09:00,Sarajevo-Butmir,N,0.6,957.5,15.5,72,
27,16.09.2020.,08:00,Ilijaš,N,0.5,967,13.7,98,
11,16.09.2020.,09:00,Sarajevo,SSE,0.7,946.7,17.8,72,
1,16.09.2020.,09:00,Sarajevo-Butmir,N,0.6,957.5,15.5,72,
27,16.09.2020.,08:00,Ilijaš,N,0.5,967,13.7,98,
11,16.09.2020.,09:00,Sarajevo,SSE,0.7,946.7,17.8,72,
1,16.09.2020.,09:00,Sarajevo-Butmir,N,0.6,957.5,15.5,72,
27,16.09.2020.,08:00,Ilijaš,N,0.5,967,13.7,98,
11,16.09.2020.,10:00,Sarajevo,WSW,0.8,946.3,21.0,61,
1,16.09.2020.,10:00,Sarajevo-Butmir, ,,,,,
27,16.09.2020.,10:00,Ilijaš,/,/,/,0,0,
11,16.09.2020.,10:00,Sarajevo,WSW,0.8,946.3,21.0,61,
1,16.09.2020.,10:00,Sarajevo-Butmir,S,0.8,957.4,18.0,62,
27,16.09.2020.,10:00,Ilijaš,/,/,/,0,0,
11,16.09.2020.,10:00,Sarajevo,WSW,0.8,946.3,21.0,61,
1,16.09.2020.,10:00,Sarajevo-Butmir,S,0.8,957.4,18.0,62,
27,16.09.2020.,10:00,Ilijaš,/,/,/,0,0,
11,16.09.2020.,11:00,Sarajevo,W,1.0,945.7,23.5,53,
1,16.09.2020.,11:00,Sarajevo-Butmir,S,1.0,957.4,20.6,53,
27,16.09.2020.,10:00,Ilijaš,/,/,/,0,0,
11,16.09.2020.,14:00,Sarajevo,SSW,1.4,944.0,30.2,29,
1,16.09.2020.,14:00,Sarajevo-Butmir,W,1.4,957.3,27.6,35,
27,16.09.2020.,14:00,Ilijaš,WNW,1.4,963.9,26.5,68,
11,16.09.2020.,14:00,Sarajevo,SSW,1.4,944.0,30.2,29,
1,16.09.2020.,14:00,Sarajevo-Butmir,W,1.4,957.3,27.6,35,
27,16.09.2020.,14:00,Ilijaš,WNW,1.4,963.9,26.5,68,
11,16.09.2020.,15:00,Sarajevo,NW,1.7,943.4,30.2,35,
1,16.09.2020.,15:00,Sarajevo-Butmir,W,1.9,957.3,27.4,34,
27,16.09.2020.,15:00,Ilijaš,W,1.4,963.4,28.1,62,
11,16.09.2020.,17:00,Sarajevo,WNW,2.4,942.6,28.8,39,
1,16.09.2020.,17:00,Sarajevo-Butmir,WNW,2.0,957.2,27.0,36,
27,16.09.2020.,16:00,Ilijaš,WSW,1.5,962.8,28.9,58,
11,16.09.2020.,17:00,Sarajevo,WNW,2.4,942.6,28.8,39,
1,16.09.2020.,17:00,Sarajevo-Butmir,WNW,2.0,957.2,27.0,36,
27,16.09.2020.,16:00,Ilijaš,WSW,1.5,962.8,28.9,58,
11,17.09.2020.,08:00,Sarajevo,ESE,1.2,943.4,15.4,82,
1,17.09.2020.,08:00,Sarajevo-Butmir,SSW,0.5,957.5,14.1,80,
27,17.09.2020.,07:00,Ilijaš,NW,0.4,963.2,14.1,100,
11,17.09.2020.,12:00,Sarajevo,W,1.1,943.2,23.6,56,
1,17.09.2020.,12:00,Sarajevo-Butmir,W,1.2,957.4,21.8,53,
27,17.09.2020.,11:00,Ilijaš,NW,0.8,963.2,21.8,84,
11,17.09.2020.,13:00,Sarajevo,WSW,1.1,942.9,25.1,55,
1,17.09.2020.,13:00,Sarajevo-Butmir,WNW,1.4,957.4,23.7,51,
27,17.09.2020.,12:00,Ilijaš,W,0.9,962.8,23.9,76,
11,17.09.2020.,13:00,Sarajevo,WSW,1.1,942.9,25.1,55,
1,17.09.2020.,13:00,Sarajevo-Butmir,WNW,1.4,957.4,23.7,51,
27,17.09.2020.,12:00,Ilijaš,W,0.9,962.8,23.9,76,
11,17.09.2020.,13:00,Sarajevo,WSW,1.1,942.9,25.1,55,
1,17.09.2020.,13:00,Sarajevo-Butmir,WNW,1.4,957.4,23.7,51,
27,17.09.2020.,12:00,Ilijaš,W,0.9,962.8,23.9,76,
11,17.09.2020.,13:00,Sarajevo,WSW,1.1,942.9,25.1,55,
1,17.09.2020.,13:00,Sarajevo-Butmir,WNW,1.4,957.4,23.7,51,
27,17.09.2020.,12:00,Ilijaš,W,0.9,962.8,23.9,76,
11,17.09.2020.,14:00,Sarajevo,WNW,1.8,942.4,27.1,48,
1,17.09.2020.,14:00,Sarajevo-Butmir, ,,,,,
27,17.09.2020.,12:00,Ilijaš,W,0.9,962.8,23.9,76,
11,17.09.2020.,14:00,Sarajevo,WNW,1.8,942.4,27.1,48,
1,17.09.2020.,14:00,Sarajevo-Butmir,W,2.0,957.3,26.1,44,
27,17.09.2020.,13:00,Ilijaš,WNW,1.4,962.5,25.1,74,
11,17.09.2020.,14:00,Sarajevo,WNW,1.8,942.4,27.1,48,
1,17.09.2020.,14:00,Sarajevo-Butmir,W,2.0,957.3,26.1,44,
27,17.09.2020.,13:00,Ilijaš,WNW,1.4,962.5,25.1,74,
11,17.09.2020.,15:00,Sarajevo,WNW,2.3,942.2,27.5,47,
1,17.09.2020.,15:00,Sarajevo-Butmir, ,,,,,
27,17.09.2020.,14:00,Ilijaš,W,1.3,962,26.4,73,
11,17.09.2020.,18:00,Sarajevo,WNW,0.9,943.1,20.1,75,
1,17.09.2020.,18:00,Sarajevo-Butmir,NW,1.3,957.4,18.1,74,1.0
27,17.09.2020.,,Ilijaš,,,,0,0,
11,17.09.2020.,18:00,Sarajevo,WNW,0.9,943.1,20.1,75,
1,17.09.2020.,18:00,Sarajevo-Butmir,NW,1.3,957.4,18.1,74,1.0
27,17.09.2020.,,Ilijaš,,,,0,0,
11,17.09.2020.,19:00,Sarajevo,SE,0.5,943.7,19.5,79,
1,17.09.2020.,19:00,Sarajevo-Butmir,N,0.7,957.4,16.9,74,
27,17.09.2020.,,Ilijaš,,,,0,0,
11,18.09.2020.,09:00,Sarajevo,NNW,1.8,947.5,17.2,78,
1,18.09.2020.,09:00,Sarajevo-Butmir,WNW,1.7,957.4,16.9,69,
27,18.09.2020.,08:00,Ilijaš,NW,1.6,967.6,17.3,92,
11,18.09.2020.,10:00,Sarajevo,NW,2.2,948.0,17.5,75,
1,18.09.2020.,10:00,Sarajevo-Butmir,WNW,2.2,957.4,16.8,66,
27,18.09.2020.,09:00,Ilijaš,WNW,1.3,968.4,17.5,88,
11,18.09.2020.,11:00,Sarajevo,NW,2.4,948.5,16.8,77,
1,18.09.2020.,11:00,Sarajevo-Butmir, ,,,,,
27,18.09.2020.,09:00,Ilijaš,WNW,1.3,968.4,17.5,88,
11,18.09.2020.,11:00,Sarajevo,NW,2.4,948.5,16.8,77,
1,18.09.2020.,11:00,Sarajevo-Butmir,WNW,2.3,957.4,15.9,66,
27,18.09.2020.,10:00,Ilijaš,W,1.5,968.9,17.1,87,
11,18.09.2020.,11:00,Sarajevo,NW,2.4,948.5,16.8,77,
1,18.09.2020.,11:00,Sarajevo-Butmir,WNW,2.3,957.4,15.9,66,
27,18.09.2020.,10:00,Ilijaš,W,1.5,968.9,17.1,87,
11,18.09.2020.,12:00,Sarajevo,WNW,2.1,948.6,17.3,71,
1,18.09.2020.,12:00,Sarajevo-Butmir,WNW,1.6,957.4,17.3,60,
27,18.09.2020.,11:00,Ilijaš,W,1.5,969.1,17.5,84,
11,18.09.2020.,12:00,Sarajevo,WNW,2.1,948.6,17.3,71,
1,18.09.2020.,12:00,Sarajevo-Butmir,WNW,1.6,957.4,17.3,60,
27,18.09.2020.,11:00,Ilijaš,W,1.5,969.1,17.5,84,
11,18.09.2020.,14:00,Sarajevo,W,1.4,947.7,20.2,61,
1,18.09.2020.,14:00,Sarajevo-Butmir,WNW,2.1,957.4,19.3,54,
27,18.09.2020.,14:00,Ilijaš,W,1.4,968.6,20,77,
11,18.09.2020.,14:00,Sarajevo,W,1.4,947.7,20.2,61,
1,18.09.2020.,14:00,Sarajevo-Butmir,WNW,2.1,957.4,19.3,54,
27,18.09.2020.,14:00,Ilijaš,W,1.4,968.6,20,77,
11,18.09.2020.,14:00,Sarajevo,W,1.4,947.7,20.2,61,
1,18.09.2020.,14:00,Sarajevo-Butmir,WNW,2.1,957.4,19.3,54,
27,18.09.2020.,14:00,Ilijaš,W,1.4,968.6,20,77,
11,18.09.2020.,14:00,Sarajevo,W,1.4,947.7,20.2,61,
1,18.09.2020.,14:00,Sarajevo-Butmir,WNW,2.1,957.4,19.3,54,
27,18.09.2020.,14:00,Ilijaš,W,1.4,968.6,20,77,
11,18.09.2020.,14:00,Sarajevo,W,1.4,947.7,20.2,61,
1,18.09.2020.,14:00,Sarajevo-Butmir,WNW,2.1,957.4,19.3,54,
27,18.09.2020.,14:00,Ilijaš,W,1.4,968.6,20,77,
11,18.09.2020.,15:00,Sarajevo,SSW,1.9,947.8,19.6,63,
1,18.09.2020.,15:00,Sarajevo-Butmir, ,,,,,
27,18.09.2020.,15:00,Ilijaš,W,1.6,968.3,20.4,75,
11,18.09.2020.,15:00,Sarajevo,SSW,1.9,947.8,19.6,63,
1,18.09.2020.,15:00,Sarajevo-Butmir,WNW,2.4,957.4,18.1,55,
27,18.09.2020.,15:00,Ilijaš,W,1.6,968.3,20.4,75,
11,19.09.2020.,09:00,Sarajevo,SE,1.5,949.0,15.5,57,
1,19.09.2020.,09:00,Sarajevo-Butmir, ,,,,,
27,19.09.2020.,,Ilijaš,,,,0,0,
11,19.09.2020.,09:00,Sarajevo,SE,1.5,949.0,15.5,57,
1,19.09.2020.,09:00,Sarajevo-Butmir, ,,,,,
27,19.09.2020.,,Ilijaš,,,,0,0,
11,19.09.2020.,09:00,Sarajevo,SE,1.5,949.0,15.5,57,
1,19.09.2020.,09:00,Sarajevo-Butmir,WSW,0.8,957.5,13.2,62,
27,19.09.2020.,08:00,Ilijaš,N,0.4,969.5,13.8,85,
11,19.09.2020.,10:00,Sarajevo,WNW,1.1,948.8,16.1,58,
1,19.09.2020.,10:00,Sarajevo-Butmir,E,0.8,957.5,14.8,54,
27,19.09.2020.,09:00,Ilijaš,NW,0.7,969.3,15.6,78,
11,19.09.2020.,10:00,Sarajevo,WNW,1.1,948.8,16.1,58,
1,19.09.2020.,10:00,Sarajevo-Butmir,E,0.8,957.5,14.8,54,
27,19.09.2020.,09:00,Ilijaš,NW,0.7,969.3,15.6,78,
11,19.09.2020.,10:00,Sarajevo,WNW,1.1,948.8,16.1,58,
1,19.09.2020.,10:00,Sarajevo-Butmir,E,0.8,957.5,14.8,54,
27,19.09.2020.,09:00,Ilijaš,NW,0.7,969.3,15.6,78,
11,19.09.2020.,10:00,Sarajevo,WNW,1.1,948.8,16.1,58,
1,19.09.2020.,10:00,Sarajevo-Butmir,E,0.8,957.5,14.8,54,
27,19.09.2020.,09:00,Ilijaš,NW,0.7,969.3,15.6,78,
11,19.09.2020.,11:00,Sarajevo,WNW,1.1,948.4,17.1,54,
1,19.09.2020.,11:00,Sarajevo-Butmir, ,,,,,
27,19.09.2020.,09:00,Ilijaš,NW,0.7,969.3,15.6,78,
11,19.09.2020.,12:00,Sarajevo,WNW,0.9,947.8,19.5,46,
1,19.09.2020.,12:00,Sarajevo-Butmir, ,,,,,
27,19.09.2020.,11:00,Ilijaš,W,0.9,968.3,19.4,67,
11,19.09.2020.,13:00,Sarajevo,SSW,1.5,947.3,21.2,43,
1,19.09.2020.,13:00,Sarajevo-Butmir, ,,,,,
27,19.09.2020.,11:00,Ilijaš,W,0.9,968.3,19.4,67,
11,19.09.2020.,13:00,Sarajevo,SSW,1.5,947.3,21.2,43,
1,19.09.2020.,13:00,Sarajevo-Butmir,W,1.3,957.4,20.0,41,
27,19.09.2020.,12:00,Ilijaš,WSW,0.8,967.7,20.3,64,
11,19.09.2020.,13:00,Sarajevo,SSW,1.5,947.3,21.2,43,
1,19.09.2020.,13:00,Sarajevo-Butmir,W,1.3,957.4,20.0,41,
27,19.09.2020.,12:00,Ilijaš,WSW,0.8,967.7,20.3,64,
11,19.09.2020.,13:00,Sarajevo,SSW,1.5,947.3,21.2,43,
1,19.09.2020.,13:00,Sarajevo-Butmir,W,1.3,957.4,20.0,41,
27,19.09.2020.,12:00,Ilijaš,WSW,0.8,967.7,20.3,64,
11,19.09.2020.,14:00,Sarajevo,SE,1.6,946.9,20.9,44,
1,19.09.2020.,14:00,Sarajevo-Butmir, ,,,,,
27,19.09.2020.,12:00,Ilijaš,WSW,0.8,967.7,20.3,64,
11,19.09.2020.,17:00,Sarajevo,WSW,0.8,945.6,21.9,45,
1,19.09.2020.,17:00,Sarajevo-Butmir,WSW,1.0,957.4,20.1,43,
27,19.09.2020.,16:00,Ilijaš,WNW,0.8,965.4,22.1,65,
11,19.09.2020.,18:00,Sarajevo,WNW,1.3,945.7,20.3,50,
1,19.09.2020.,18:00,Sarajevo-Butmir,WNW,1.7,957.4,19.4,45,
27,19.09.2020.,17:00,Ilijaš,NNE,0.8,965.3,21.1,71,
11,19.09.2020.,19:00,Sarajevo,NW,0.7,945.4,18.8,57,
1,19.09.2020.,19:00,Sarajevo-Butmir, ,,,,,
27,19.09.2020.,18:00,Ilijaš,ENE,0.2,965,19.7,78,
11,19.09.2020.,20:00,Sarajevo,SE,1.2,945.3,16.7,67,
1,19.09.2020.,20:00,Sarajevo-Butmir, ,,,,,
27,19.09.2020.,19:00,Ilijaš,ENE,0.2,964.8,16.8,87,
11,19.09.2020.,21:00,Sarajevo,ESE,2.7,945.6,15.7,71,
1,19.09.2020.,21:00,Sarajevo-Butmir, ,,,,,
27,19.09.2020.,20:00,Ilijaš,NE,0.2,965.1,15.4,92,
11,21.09.2020.,10:00,Sarajevo,SW,0.9,944.9,19.6,62,
1,21.09.2020.,10:00,Sarajevo-Butmir, ,,,,,
27,21.09.2020.,10:00,Ilijaš,WSW,0.6,965.1,13.3,99,
11,21.09.2020.,11:00,Sarajevo,WSW,1.1,944.5,21.7,56,
1,21.09.2020.,11:00,Sarajevo-Butmir, ,,,,,
27,21.09.2020.,11:00,Ilijaš,NW,0.8,964.6,17,89,
11,21.09.2020.,12:00,Sarajevo,W,1.2,944.2,23.6,51,
1,21.09.2020.,12:00,Sarajevo-Butmir, ,,,,,
27,21.09.2020.,12:00,Ilijaš,WNW,0.9,964.2,20.6,79,
11,21.09.2020.,12:00,Sarajevo,W,1.2,944.2,23.6,51,
1,21.09.2020.,12:00,Sarajevo-Butmir, ,,,,,
27,21.09.2020.,12:00,Ilijaš,WNW,0.9,964.2,20.6,79,
11,21.09.2020.,13:00,Sarajevo,W,1.1,943.9,26.1,44,
1,21.09.2020.,13:00,Sarajevo-Butmir, ,,,,,
27,21.09.2020.,13:00,Ilijaš,W,1.1,963.9,23.4,75,
11,21.09.2020.,14:00,Sarajevo,WSW,1.6,943.4,28.2,39,
1,21.09.2020.,14:00,Sarajevo-Butmir, ,,,,,
27,21.09.2020.,14:00,Ilijaš,W,1,963.4,25.3,69,
11,21.09.2020.,14:00,Sarajevo,WSW,1.6,943.4,28.2,39,
1,21.09.2020.,14:00,Sarajevo-Butmir, ,,,,,
27,21.09.2020.,14:00,Ilijaš,W,1,963.4,25.3,69,
11,21.09.2020.,14:00,Sarajevo,WSW,1.6,943.4,28.2,39,
1,21.09.2020.,14:00,Sarajevo-Butmir, ,,,,,
27,21.09.2020.,14:00,Ilijaš,W,1,963.4,25.3,69,
11,22.09.2020.,15:00,Sarajevo,W,1.7,942.9,22.8,53,
1,22.09.2020.,15:00,Sarajevo-Butmir, ,,,,,
27,22.09.2020.,15:00,Ilijaš,W,1.4,963,23.4,69,
11,23.09.2020.,11:00,Sarajevo,W,1.0,940.0,18.8,74,
1,23.09.2020.,11:00,Sarajevo-Butmir, ,,,,,
27,23.09.2020.,10:00,Ilijaš,SE,1,959.9,19.2,84,
11,21.09.2020.,12:00,Sarajevo,W,1.2,944.2,23.6,51,
11,21.09.2020.,12:00,Sarajevo,W,1.2,944.2,23.6,51,
11,21.09.2020.,12:00,Sarajevo,W,1.2,944.2,23.6,51,
11,21.09.2020.,12:00,Sarajevo,W,1.2,944.2,23.6,51,
11,21.09.2020.,12:00,Sarajevo,W,1.2,944.2,23.6,51,
11,21.09.2020.,13:00,Sarajevo,W,1.1,943.9,26.1,44,
11,21.09.2020.,13:00,Sarajevo,W,1.1,943.9,26.1,44,
11,21.09.2020.,14:00,Sarajevo,WSW,1.6,943.4,28.2,39,
11,21.09.2020.,14:00,Sarajevo,WSW,1.6,943.4,28.2,39,
11,21.09.2020.,20:00,Sarajevo,ENE,1.0,944.0,20.0,67,
11,23.09.2020.,11:00,Sarajevo,W,1.0,940.0,18.8,74,
11,23.09.2020.,11:00,Sarajevo,W,1.0,940.0,18.8,74,
1,23.09.2020.,11:00,Sarajevo-Butmir, ,,,,,
27,23.09.2020.,10:00,Ilijaš,SE,1,959.9,19.2,84,
11,23.09.2020.,14:00,Sarajevo,SSW,2.8,938.9,23.2,48,
1,23.09.2020.,14:00,Sarajevo-Butmir, ,,,,,
27,23.09.2020.,13:00,Ilijaš,ESE,1.4,959.2,22.3,76,
11,23.09.2020.,14:00,Sarajevo,SSW,2.8,938.9,23.2,48,
1,23.09.2020.,14:00,Sarajevo-Butmir, ,,,,,
27,23.09.2020.,13:00,Ilijaš,ESE,1.4,959.2,22.3,76,
11,23.09.2020.,14:00,Sarajevo,SSW,2.8,938.9,23.2,48,
1,23.09.2020.,14:00,Sarajevo-Butmir, ,,,,,
27,23.09.2020.,13:00,Ilijaš,ESE,1.4,959.2,22.3,76,
11,23.09.2020.,14:00,Sarajevo,SSW,2.8,938.9,23.2,48,
1,23.09.2020.,14:00,Sarajevo-Butmir, ,,,,,
27,23.09.2020.,13:00,Ilijaš,ESE,1.4,959.2,22.3,76,
11,23.09.2020.,14:00,Sarajevo,SSW,2.8,938.9,23.2,48,
1,23.09.2020.,14:00,Sarajevo-Butmir, ,,,,,
27,23.09.2020.,13:00,Ilijaš,ESE,1.4,959.2,22.3,76,
11,23.09.2020.,15:00,Sarajevo,SSW,3.0,938.4,23.4,46,
1,23.09.2020.,15:00,Sarajevo-Butmir, ,,,,,
27,23.09.2020.,14:00,Ilijaš,SE,1.3,958.6,23.5,72,
11,23.09.2020.,15:00,Sarajevo,SSW,3.0,938.4,23.4,46,
11,23.09.2020.,15:00,Sarajevo,SSW,3.0,938.4,23.4,46,
11,23.09.2020.,18:00,Sarajevo,WSW,0.8,939.1,18.8,71,0.2
11,23.09.2020.,18:00,Sarajevo,WSW,0.8,939.1,18.8,71,0.2
11,23.09.2020.,18:00,Sarajevo,WSW,0.8,939.1,18.8,71,0.2
11,23.09.2020.,18:00,Sarajevo,WSW,0.8,939.1,18.8,71,0.2
11,23.09.2020.,18:00,Sarajevo,WSW,0.8,939.1,18.8,71,0.2
11,23.09.2020.,18:00,Sarajevo,WSW,0.8,939.1,18.8,71,0.2
11,23.09.2020.,18:00,Sarajevo,WSW,0.8,939.1,18.8,71,0.2
11,23.09.2020.,19:00,Sarajevo,E,0.8,939.4,17.1,82,1.4
11,23.09.2020.,19:00,Sarajevo,E,0.8,939.4,17.1,82,1.4
11,23.09.2020.,19:00,Sarajevo,E,0.8,939.4,17.1,82,1.4
11,23.09.2020.,19:00,Sarajevo,E,0.8,939.4,17.1,82,1.4
11,23.09.2020.,19:00,Sarajevo,E,0.8,939.4,17.1,82,1.4
11,23.09.2020.,19:00,Sarajevo,E,0.8,939.4,17.1,82,1.4
11,23.09.2020.,20:00,Sarajevo,E,1.1,939.4,16.1,87,0.8
11,23.09.2020.,20:00,Sarajevo,E,1.1,939.4,16.1,87,0.8
11,23.09.2020.,20:00,Sarajevo,E,1.1,939.4,16.1,87,0.8
11,23.09.2020.,20:00,Sarajevo,E,1.1,939.4,16.1,87,0.8
11,23.09.2020.,21:00,Sarajevo,E,1.1,939.8,15.1,88,
11,23.09.2020.,21:00,Sarajevo,E,1.1,939.8,15.1,88,
11,23.09.2020.,21:00,Sarajevo,E,1.1,939.8,15.1,88,
11,23.09.2020.,21:00,Sarajevo,E,1.1,939.8,15.1,88,
11,24.09.2020.,08:00,Sarajevo,ESE,1.7,939.5,13.5,90,
11,24.09.2020.,08:00,Sarajevo,ESE,1.7,939.5,13.5,90,
11,24.09.2020.,08:00,Sarajevo,ESE,1.7,939.5,13.5,90,
11,24.09.2020.,08:00,Sarajevo,ESE,1.7,939.5,13.5,90,
11,24.09.2020.,09:00,Sarajevo,ESE,1.3,939.8,16.9,74,
11,24.09.2020.,09:00,Sarajevo,ESE,1.3,939.8,16.9,74,
11,24.09.2020.,09:00,Sarajevo,ESE,1.3,939.8,16.9,74,
11,24.09.2020.,09:00,Sarajevo,ESE,1.3,939.8,16.9,74,
11,24.09.2020.,10:00,Sarajevo,SSW,0.8,940.2,20.3,64,
11,24.09.2020.,10:00,Sarajevo,SSW,0.8,940.2,20.3,64,
11,24.09.2020.,10:00,Sarajevo,SSW,0.8,940.2,20.3,64,
11,24.09.2020.,10:00,Sarajevo,SSW,0.8,940.2,20.3,64,
11,24.09.2020.,11:00,Sarajevo,WNW,1.1,940.3,21.7,57,
11,24.09.2020.,11:00,Sarajevo,WNW,1.1,940.3,21.7,57,
11,24.09.2020.,11:00,Sarajevo,WNW,1.1,940.3,21.7,57,
11,24.09.2020.,11:00,Sarajevo,WNW,1.1,940.3,21.7,57,
11,24.09.2020.,12:00,Sarajevo,WSW,1.4,940.0,24.0,45,
11,24.09.2020.,13:00,Sarajevo,WSW,1.5,939.9,25.0,40,
11,24.09.2020.,13:00,Sarajevo,WSW,1.5,939.9,25.0,40,
11,24.09.2020.,13:00,Sarajevo,WSW,1.5,939.9,25.0,40,
11,24.09.2020.,14:00,Sarajevo,WSW,1.3,939.6,26.1,35,
11,24.09.2020.,14:00,Sarajevo,WSW,1.3,939.6,26.1,35,
11,24.09.2020.,14:00,Sarajevo,WSW,1.3,939.6,26.1,35,
11,24.09.2020.,14:00,Sarajevo,WSW,1.3,939.6,26.1,35,
11,24.09.2020.,15:00,Sarajevo,WSW,1.6,939.5,26.5,36,
11,24.09.2020.,17:00,Sarajevo,W,2.0,939.5,23.5,46,
11,24.09.2020.,17:00,Sarajevo,W,2.0,939.5,23.5,46,
11,24.09.2020.,18:00,Sarajevo,WNW,1.8,939.7,21.9,53,
11,24.09.2020.,18:00,Sarajevo,WNW,1.8,939.7,21.9,53,
11,24.09.2020.,18:00,Sarajevo,WNW,1.8,939.7,21.9,53,
11,24.09.2020.,18:00,Sarajevo,WNW,1.8,939.7,21.9,53,
11,24.09.2020.,19:00,Sarajevo,NNE,1.3,939.8,20.3,58,
11,24.09.2020.,19:00,Sarajevo,NNE,1.3,939.8,20.3,58,
11,24.09.2020.,19:00,Sarajevo,NNE,1.3,939.8,20.3,58,
11,24.09.2020.,19:00,Sarajevo,NNE,1.3,939.8,20.3,58,
11,24.09.2020.,20:00,Sarajevo,ESE,1.2,939.9,18.0,69,
11,24.09.2020.,20:00,Sarajevo,ESE,1.2,939.9,18.0,69,
11,25.09.2020.,08:00,Sarajevo,WNW,1.1,933.4,16.0,68,
11,25.09.2020.,08:00,Sarajevo,WNW,1.1,933.4,16.0,68,
11,25.09.2020.,08:00,Sarajevo,WNW,1.1,933.4,16.0,68,
11,25.09.2020.,08:00,Sarajevo,WNW,1.1,933.4,16.0,68,
11,25.09.2020.,09:00,Sarajevo,NNE,1.6,932.0,18.2,64,
11,25.09.2020.,09:00,Sarajevo,NNE,1.6,932.0,18.2,64,
11,25.09.2020.,09:00,Sarajevo,NNE,1.6,932.0,18.2,64,
11,25.09.2020.,09:00,Sarajevo,NNE,1.6,932.0,18.2,64,
11,25.09.2020.,10:00,Sarajevo,S,1.8,931.8,20.0,58,
11,25.09.2020.,10:00,Sarajevo,S,1.8,931.8,20.0,58,
11,25.09.2020.,10:00,Sarajevo,S,1.8,931.8,20.0,58,
11,25.09.2020.,10:00,Sarajevo,S,1.8,931.8,20.0,58,
11,25.09.2020.,11:00,Sarajevo,S,1.8,931.8,18.8,70,0.2
11,25.09.2020.,11:00,Sarajevo,S,1.8,931.8,18.8,70,0.2
11,25.09.2020.,11:00,Sarajevo,S,1.8,931.8,18.8,70,0.2
11,25.09.2020.,11:00,Sarajevo,S,1.8,931.8,18.8,70,0.2
11,25.09.2020.,12:00,Sarajevo,SW,2.3,931.2,20.8,64,0.3
11,25.09.2020.,12:00,Sarajevo,SW,2.3,931.2,20.8,64,0.3
11,25.09.2020.,12:00,Sarajevo,SW,2.3,931.2,20.8,64,0.3
11,25.09.2020.,12:00,Sarajevo,SW,2.3,931.2,20.8,64,0.3
11,25.09.2020.,13:00,Sarajevo,WSW,1.7,930.9,20.5,67,
11,25.09.2020.,13:00,Sarajevo,WSW,1.7,930.9,20.5,67,
11,25.09.2020.,13:00,Sarajevo,WSW,1.7,930.9,20.5,67,
11,25.09.2020.,13:00,Sarajevo,WSW,1.7,930.9,20.5,67,
11,25.09.2020.,13:00,Sarajevo,WSW,1.7,930.9,20.5,67,
11,25.09.2020.,14:00,Sarajevo,W,1.8,929.9,19.2,79,1.2
11,25.09.2020.,14:00,Sarajevo,W,1.8,929.9,19.2,79,1.2
11,25.09.2020.,14:00,Sarajevo,W,1.8,929.9,19.2,79,1.2
11,25.09.2020.,14:00,Sarajevo,W,1.8,929.9,19.2,79,1.2
11,25.09.2020.,15:00,Sarajevo,WNW,1.1,928.9,21.7,71,
11,25.09.2020.,19:00,Sarajevo,WSW,1.9,925.8,19.1,64,0.4
11,25.09.2020.,19:00,Sarajevo,WSW,1.9,925.8,19.1,64,0.4
11,25.09.2020.,19:00,Sarajevo,WSW,1.9,925.8,19.1,64,0.4
11,25.09.2020.,19:00,Sarajevo,WSW,1.9,925.8,19.1,64,0.4
11,25.09.2020.,20:00,Sarajevo,SSW,2.1,925.1,19.4,60,
11,25.09.2020.,20:00,Sarajevo,SSW,2.1,925.1,19.4,60,
11,25.09.2020.,20:00,Sarajevo,SSW,2.1,925.1,19.4,60,
11,25.09.2020.,20:00,Sarajevo,SSW,2.1,925.1,19.4,60,
11,25.09.2020.,21:00,Sarajevo,S,2.9,925.0,18.7,66,0.4
11,25.09.2020.,21:00,Sarajevo,S,2.9,925.0,18.7,66,0.4
11,25.09.2020.,21:00,Sarajevo,S,2.9,925.0,18.7,66,0.4
11,25.09.2020.,21:00,Sarajevo,S,2.9,925.0,18.7,66,0.4
11,25.09.2020.,22:00,Sarajevo,WSW,1.8,923.3,17.9,69,
11,25.09.2020.,22:00,Sarajevo,WSW,1.8,923.3,17.9,69,
11,25.09.2020.,22:00,Sarajevo,WSW,1.8,923.3,17.9,69,
11,26.09.2020.,11:00,Sarajevo,NW,1.1,925.2,10.6,79,2.0
11,26.09.2020.,11:00,Sarajevo,NW,1.1,925.2,10.6,79,2.0
11,26.09.2020.,11:00,Sarajevo,NW,1.1,925.2,10.6,79,2.0
11,26.09.2020.,11:00,Sarajevo,NW,1.1,925.2,10.6,79,2.0
11,26.09.2020.,12:00,Sarajevo,E,2.7,924.7,10.9,80,1.0
11,26.09.2020.,12:00,Sarajevo,E,2.7,924.7,10.9,80,1.0
11,26.09.2020.,12:00,Sarajevo,E,2.7,924.7,10.9,80,1.0
